PG,CVX
4.1808,6.2442
4.1726,6.3336
4.4258,6.369
4.6429,6.2157
5.4235,6.6759
5.7276,6.7116
5.7316,7.6449
5.0874,7.3078
4.8148,7.1272
5.2294,6.5614
5.5121,6.805
5.7615,7.0728
5.3041,6.9511
5.4379,7.4107
5.6973,7.583
5.6459,7.7028
5.73,7.3543
5.2083,7.0059
5.4697,7.1801
5.656,7.2262
5.7491,7.4024
5.6987,7.5283
5.5198,6.7971
6.3971,7.0262
7.1085,6.4789
6.9629,6.3572
7.0057,6.6022
7.112,7.1954
7.0776,7.451
6.3371,6.9942
7.0123,7.451
6.4928,7.7624
6.8391,7.8284
7.3636,7.4983
7.5551,7.3462
7.4681,7.4264
6.9664,7.7736
7.2814,8.3254
6.9839,8.9876
6.918,9.312
6.918,9.6268
7.3228,9.5858
6.9076,9.6541
6.8544,10.2733
6.7304,10.7835
7.7321,10.7007
8.0884,9.6731
8.1241,9.7009
8.5267,10.3968
8.2401,9.7407
7.6669,9.4456
8.1977,10.0078
8.1257,9.8879
7.6933,9.5185
8.0873,10.0868
8.8307,9.736
8.6494,9.5637
9.172,10.3391
9.1173,10.1284
9.0444,10.3606
9.5541,10.3606
9.7558,11.1676
9.7191,11.2555
10.3039,11.109
10.5989,11.6285
10.5989,10.9776
10.2153,11.6877
10.2894,11.5694
11.4203,11.6591
12.074,11.1807
12.8938,11.9319
12.3721,12.6568
12.5779,12.536
12.2784,13.563
12.6902,13.685
12.7123,14.1421
13.22,14.6928
13.6337,14.5084
13.4988,14.2318
13.442,14.6128
14.7465,15.5436
15.043,16.3192
16.5245,16.7664
16.3536,16.2659
17.6401,16.61
18.3266,16.2693
17.5066,17.562
19.2559,17.2782
21.1125,17.8023
21.6293,18.8036
23.372,20.0911
20.4529,19.8428
21.2211,21.2842
20.9671,21.2522
23.4916,20.6909
24.6094,19.8684
24.2419,19.2879
26.2524,21.034
26.0978,20.8877
25.4984,21.5054
26.0219,20.9241
28.2518,21.9392
24.7056,21.6445
23.8108,19.5485
22.1378,22.188
27.7002,21.5116
27.3683,22.2405
28.5201,22.0577
28.4773,19.8137
28.0464,20.6034
30.6905,23.7861
29.4855,26.7342
29.348,24.9499
28.0515,25.641
28.5649,24.6127
31.3051,25.0596
29.5703,24.0925
33.1872,24.7881
34.1761,24.2095
34.6706,23.6799
32.0685,22.8598
27.8839,20.5893
18.0076,25.4825
19.0478,23.4667
21.1997,25.662
18.0915,23.5452
18.281,21.9272
19.8307,23.648
21.4882,23.8523
23.0213,22.978
24.1291,23.0861
25.2771,23.8087
23.2642,23.4823
22.8302,24.3373
20.272,24.9454
19.5655,27.4342
20.9307,27.4765
20.7873,25.8889
23.2662,26.1435
24.2916,26.1446
23.846,24.416
24.3005,25.5108
25.5126,24.6826
26.0626,26.0182
27.0315,24.3312
28.0607,24.7271
29.8147,26.4344
29.996,25.3919
29.76,25.7505
29.9074,26.1194
